Year ,site,crops_practices,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
7,sd,compost_trees,0,457.16,457.16,365.72,128.85,122.81,122.81,204.68,0,0,0,0,0.015,0.0073,0.0021,0.0006,0.0002,17302.32,8369.35,2454.75,734.15,282.91,28932.95,29143.48,210.54,-599.8486816,-770.5929327,0,170.7442511,590.54,56.44,936.89,663.52,2036.79,0.08,0,0,2807.72,5.25,2826.52,5.55,19.1,0,0,39.57,23.25,7.37,27.95,0.17,0,0,0.41,0.02,0.59,16.4,2.45,1288.9,164.08,301.49,0,0,0,539.8,0.09,14.35,2,1,0.07,0.53,0,783.99,866.64,866.64,2038.38,0
8,sd,compost_trees,0,496.49,496.49,397.19,129.97,160.34,160.34,267.24,0,0,0,0,0.0154,0.0072,0.0021,0.0006,0.0002,17714,8337.56,2445.95,732.99,284.32,29143.48,29514.82,371.34,-434.6159078,-1359.13356,0,924.5176522,665.48,58.19,1250.89,764.47,2367.58,0.09,0,0,2826.52,5.55,2854.9,6.36,29.18,0,0,60.4,25.54,7.41,34.12,0.44,0,0,2.22,0.03,3.22,19.56,2.52,1288.86,171.05,292.88,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,898.99,1030.5,1030.5,2338.33,0
9,sd,compost_trees,0,483.47,483.47,386.78,130.34,130.69,130.69,217.81,0,0,0,0,0.0156,0.0072,0.0021,0.0006,0.0002,17916.81,8306.75,2437.59,731.5,285.15,29514.82,29677.8,162.97,-334.1198798,-596.4829973,0,262.3631175,698,60.1,936.89,861.02,2392.96,0.09,0,0,2854.9,6.36,2873.21,6.2,18.15,0,0,39.32,26.67,7.59,30.07,0.21,0,0,0.63,0.02,0.9,17.71,2.49,1288.86,170.25,296.44,0,0,0,539.8,0.09,14.35,2,1,0.07,0.53,0,1014.72,1147.69,1147.69,2566.36,0
10,sd,compost_trees,0,483.58,483.58,386.86,131.21,131.01,131.01,218.35,0,0,0,0,0.0158,0.0072,0.0021,0.0006,0.0002,18133.27,8276.48,2429.41,729.97,285.87,29677.79,29854.99,177.19,-386.1661964,-648.5293139,0,262.3631175,715.05,60.8,936.89,947.34,2482.79,0.09,0,0,2873.21,6.2,2890.47,6.51,17.56,0,0,39.25,27.22,7.49,30.42,0.22,0,0,0.63,0.03,0.9,18.24,2.5,1288.86,168.7,297.12,0,0,0,539.8,0.09,14.35,2,1,0.07,0.53,0,1131.19,1267.71,1267.71,2790.66,0
11,sd,compost_trees,0,489.75,489.75,391.8,131.83,133.74,133.74,222.91,0,0,0,0,0.016,0.0072,0.0021,0.0006,0.0002,18351.43,8246.65,2421.29,728.43,286.52,29854.98,30034.31,179.32,-364.8107062,-656.3252812,0,291.514575,740.17,61.34,936.89,1034.72,2593.71,0.09,0,0,2890.47,6.51,2907.07,6.77,16.87,0,0,39.2,27.98,7.52,31.09,0.23,0,0,0.7,0.03,1,18.76,2.5,1288.85,169.3,296.41,0,0,0,539.8,0.09,14.35,2,1,0.07,0.53,0,1248.18,1391.87,1391.87,3020.66,0
12,sd,compost_trees,0,526.24,526.24,420.99,133.43,178.53,178.53,297.55,0,0,0,0,0.0163,0.0071,0.0021,0.0006,0.0002,18732.13,8216.26,2412.82,727.17,287.54,30034.31,30375.92,341.61,-209.1959428,-1250.319425,0,1041.123482,800.24,62.69,1250.89,1144.46,2916.59,0.1,0,0,2907.07,6.77,2933.13,7.52,26.81,0,0,60.06,29.81,7.65,37.22,0.5,0,0,2.5,0.03,3.59,21.82,2.56,1288.82,175.84,289.13,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,1366.72,1570.74,1570.74,3346.5,0
13,sd,compost_trees,0,522.69,522.69,418.15,133.05,138.66,138.66,231.09,0,0,0,0,0.0164,0.0071,0.0021,0.0006,0.0002,18915.02,8186.88,2404.88,725.61,288.06,30375.92,30520.46,144.54,-141.7298147,-529.02775,0,387.2979353,831.39,64.52,936.89,1248.64,2936.8,0.1,0,0,2933.13,7.52,2949.43,7.33,16.11,0,0,39.02,30.88,7.89,33.09,0.26,0,0,0.93,0.03,1.3,19.75,2.52,1288.81,173.77,293.01,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,1485.19,1696.35,1696.35,3591.42,0
14,sd,compost_trees,0,498.81,498.81,399.05,133.66,149.22,149.22,248.69,0,0,0,0,0.0166,0.0071,0.0021,0.0006,0.0002,19086.31,8158.03,2397.17,724.1,288.61,30520.46,30654.2,133.74,-102.2009667,-489.498902,0,387.2979353,818.37,64.9,936.89,1342.78,3029.1,0.1,0,0,2949.43,7.33,2964.17,7.6,15,0,0,38.95,30.55,7.53,32.98,0.27,0,0,0.93,0.03,1.29,20.16,2.53,1288.83,173.85,292.23,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,1604.2,1825.1,1825.1,3832.32,0
15,sd,compost_trees,0,506.45,506.45,405.16,134,151.56,151.56,252.6,0,0,0,0,0.0168,0.0071,0.0021,0.0006,0.0002,19270.36,8129.63,2389.59,722.58,289.1,30654.21,30801.26,147.06,-121.8017551,-538.2511479,0,416.4493928,826.07,64.57,936.89,1439.28,3119.62,0.1,0,0,2964.17,7.6,2978.02,7.82,14.08,0,0,38.88,30.71,7.61,33.55,0.28,0,0,1,0.03,1.39,20.55,2.54,1288.82,173.09,292.9,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,1723.52,1965.59,1965.59,4085.32,0
16,sd,compost_trees,0,551.13,551.13,440.9,135.87,188.57,188.57,314.28,0,0,0,0,0.0171,0.007,0.0021,0.0006,0.0002,19629.52,8100.61,2381.31,721.25,289.84,30801.26,31122.54,321.28,-19.72071676,-1175.910029,-1.54,1157.729312,890.04,65.64,1250.89,1556.66,3441.83,0.11,0,-0.01,2978.02,7.82,3001.85,8.56,24.58,0,0,59.76,32.62,7.82,39.46,0.56,0,0,2.78,0.04,3.96,23.51,2.58,1288.78,180.11,285.83,0,0,0,539.8,0.09,14.35,2,1,0.07,0.55,0,1844.73,2155.83,2155.83,4428.71,0
17,sd,compost_trees,0,531.38,531.38,425.1,135.46,156,156,260,0,0,0,0,0.0172,0.007,0.0021,0.0006,0.0002,19774.91,8072.62,2373.7,719.73,290.25,31122.54,31231.21,108.67,112.9520199,-397.7407333,-1.54,512.2327532,903.65,67.17,936.89,1669.11,3468.07,0.11,0,-0.01,3001.85,8.56,3015.69,8.3,13.58,0,0,38.74,33.17,7.89,35.14,0.31,0,0,1.23,0.04,1.7,21.22,2.54,1288.79,176.29,290.2,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,1965.78,2292.4,2292.4,4693.07,0
18,sd,compost_trees,0,538,538,430.4,136.06,155.46,155.46,259.1,0,0,0,0,0.0173,0.007,0.0021,0.0006,0.0002,19945.18,8044.94,2366.31,718.19,290.61,31231.2,31365.23,134.03,14.42793458,-490.5603247,-3.08,508.0682593,910.35,67.64,936.89,1771.05,3551.79,0.11,0,-0.02,3015.69,8.3,3028.74,8.53,13.28,0,0,38.69,33.39,7.96,35.45,0.32,0,0,1.22,0.04,1.67,21.45,2.55,1288.79,176.33,290.34,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,2087.4,2435.78,2435.78,4958.92,0
19,sd,compost_trees,0,520.63,520.63,416.51,136.65,164.06,164.06,273.43,0,0,0,0,0.0175,0.007,0.0021,0.0006,0.0002,20095.49,8017.58,2358.93,716.68,290.98,31365.23,31479.66,114.44,115.2803304,-418.8593864,-3.08,537.2197168,902.47,67.68,936.89,1874.47,3666.98,0.11,0,-0.02,3028.74,8.53,3040.85,8.73,12.3,0,0,38.63,33.17,7.7,35.43,0.33,0,0,1.29,0.04,1.76,21.72,2.55,1288.8,176.28,289.61,0,0,0,539.8,0.09,14.35,2,1,0.07,0.54,0,2209.63,2579.99,2579.99,5224.33,0
20,sd,compost_trees,0,562.71,562.71,450.17,138.26,203.52,203.52,339.2,0,0,0,0,0.0178,0.0069,0.002,0.0006,0.0002,20426.74,7989.7,2350.81,715.33,291.57,31479.67,31774.15,294.48,191.8952182,-1077.819924,-4.62,1274.335142,948.24,68.15,1250.89,1998.98,3971.69,0.11,0,-0.03,3040.85,8.73,3062.59,9.47,22.49,0,0,59.51,34.49,7.91,41.26,0.61,0,0,3.06,0.05,4.3,24.59,2.58,1288.76,181.81,283.95,0,0,0,539.8,0.09,14.35,2,1,0.07,0.55,0,2333.47,2783.27,2783.27,5586.55,0
1,sd,compost_trees_rye,110.5,189.36,189.36,315.61,0,79.31,79.31,86.21,0,826.61,826.61,661.29,0.0137,0.0074,0.0022,0.0006,0.0002,15784.07,8563.1,2508.6,742.05,273.45,27021.44,27871.27,849.83,-1977.702185,-3110.444533,0,1132.742348,598.5,18.89,782.45,153.79,703.74,0.05,0,0,2677.82,1.21,2702.35,4.23,27.55,0,0,41.38,19.09,18.95,36.56,0.13,0,0,2.72,0.01,4.01,7.7,2.35,1289.14,178.08,429.92,0,0,0,539.8,0.07,14.35,2,1,0.27,0.5,0,110.5,433.71,433.71,929.91,0
2,sd,compost_trees_rye,132.75,164.22,164.22,273.7,0,74.04,74.04,80.48,0,418.12,418.12,334.5,0.0139,0.0074,0.0022,0.0006,0.0002,16012.2,8529.62,2499.54,742.18,279.23,27871.27,28062.78,191.51,-625.9807477,-700.9416384,0,74.96089072,468.25,45.38,936.89,354.83,1613.75,0.08,0,0,2702.35,4.23,2726.07,3.82,23.31,0,0,38.01,18.55,9.23,26.1,0.1,0,0,0.18,0.01,0.27,11.35,2.32,1288.82,126.25,339.34,0,0,0,539.8,0.07,14.35,2,1,0.23,0.51,0,237.82,551.45,551.45,1333.41,0
3,sd,compost_trees_rye,131.84,171.51,171.51,285.86,0,75.47,75.47,82.03,0,432.06,432.06,345.65,0.0142,0.0074,0.0022,0.0006,0.0002,16307.87,8496.2,2489.95,741.18,282.11,28062.79,28317.3,254.52,-877.4247652,-931.5631863,0,54.13842107,478.66,49.04,936.89,495.84,1705.86,0.08,0,0,2726.07,3.82,2747.61,4.15,21.87,0,0,37.7,19.26,9.49,27.2,0.1,0,0,0.13,0.01,0.19,12.12,2.36,1288.57,131.07,339.99,0,0,0,539.8,0.07,14.35,2,1,0.24,0.52,0,361.13,774.9,774.9,1738.69,0
4,sd,compost_trees_rye,137.64,218.04,218.04,363.41,0,84.38,84.38,91.72,0,434.53,434.53,347.62,0.0146,0.0074,0.0022,0.0006,0.0002,16737.51,8462.24,2480.9,739.8,284.98,28317.31,28705.43,388.12,-616.802349,-1420.549677,0,803.747328,555.17,51.6,1250.89,656.04,2125.52,0.09,0,0,2747.61,4.15,2778.15,4.95,31.34,0,0,58.49,21.71,9.16,33.7,0.36,0,0,1.93,0.02,2.82,15.22,2.44,1288.27,145.51,324.83,0,0,0,539.8,0.07,14.35,2,1,0.24,0.55,0,489.68,1047.52,1047.52,2216.27,0
5,sd,compost_trees_rye,136.75,189.66,189.66,316.11,0,78.34,78.34,85.15,0,451.11,451.11,360.89,0.0148,0.0073,0.0021,0.0006,0.0002,16996.71,8429.02,2471.51,738.44,286.88,28705.43,28922.57,217.15,-674.0157279,-794.7860518,0,120.7703239,625.29,53.53,936.89,813.29,2211.75,0.09,0,0,2778.15,4.95,2799.44,4.83,21.17,0,0,37.42,23.9,9.75,29.88,0.14,0,0,0.29,0.02,0.44,13.87,2.41,1287.98,137.94,334.24,0,0,0,539.8,0.07,14.35,2,1,0.24,0.53,0,617.32,1285.86,1285.86,2641.9,0
6,sd,compost_trees_rye,137.39,196.54,196.54,327.56,0,79.91,79.91,86.86,0,452.74,452.74,362.2,0.015,0.0073,0.0021,0.0006,0.0002,17261.46,8396.3,2462.28,736.86,288.51,28922.57,29145.41,222.84,-686.5125868,-815.6118986,0,129.0993118,670.57,55.22,936.89,965.69,2405.43,0.1,0,0,2799.44,4.83,2820.11,5.16,21,0,0,37.36,25.36,9.81,30.56,0.15,0,0,0.31,0.02,0.45,14.6,2.43,1287.7,139.13,331.9,0,0,0,539.8,0.07,14.35,2,1,0.24,0.53,0,745.4,1525.66,1525.66,3071.4,0
7,sd,compost_trees_rye,137.57,202.45,202.45,337.41,0,83.82,83.82,91.1,0,453.87,453.87,363.1,0.0152,0.0073,0.0021,0.0006,0.0002,17517.44,8364.04,2453.19,735.22,289.93,29145.4,29359.82,214.41,-622.3421734,-784.7574366,0,162.4152632,701.28,56.27,936.89,1120.8,2600.74,0.1,0,0,2820.11,5.16,2839.87,5.49,20.09,0,0,37.27,26.33,9.83,31.35,0.16,0,0,0.39,0.02,0.57,15.32,2.45,1287.4,141.63,329.86,0,0,0,539.8,0.07,14.35,2,1,0.24,0.54,0,873.53,1773.38,1773.38,3509.21,0
8,sd,compost_trees_rye,141.32,243.41,243.41,405.68,0,94.28,94.28,102.48,0,444.26,444.26,355.41,0.0155,0.0072,0.0021,0.0006,0.0002,17884.73,8331.4,2444.51,733.12,291.53,29359.82,29685.29,325.47,-270.8926,-1191.245758,0,920.353158,715,56.67,1250.89,1294.35,2991.32,0.11,0,0,2839.87,5.49,2867.36,6.28,28.28,0,0,58.08,26.76,9.23,37.08,0.42,0,0,2.21,0.03,3.2,18.4,2.51,1287.07,154.26,315.36,0,0,0,539.8,0.07,14.35,2,1,0.24,0.57,0,1005.35,2067.59,2067.59,4016.03,0
9,sd,compost_trees_rye,139.38,215.83,215.83,359.71,0,87.16,87.16,94.74,0,449.75,449.75,359.8,0.0157,0.0072,0.0021,0.0006,0.0002,18076.87,8300.08,2435.75,731.87,292.66,29685.29,29837.24,151.95,-302.1148022,-556.1489319,0,254.0341297,735.26,56.73,936.89,1465.72,3042.55,0.11,0,0,2867.36,6.28,2884.5,6.14,17,0,0,37.05,27.32,9.61,32.92,0.2,0,0,0.61,0.02,0.88,16.77,2.48,1286.75,145.66,326.02,0,0,0,539.8,0.07,14.35,2,1,0.24,0.55,0,1135.33,2330.52,2330.52,4473.43,0
